iter	RMSE
0	8.743336083
1	7.774946148
2	6.924750072
3	6.200944927
4	5.573839499
5	5.034904145
6	4.56774526
7	4.17062853
8	3.832918126
9	3.550588122
10	3.309951432
11	3.107832441
12	2.937790554
13	2.795254084
14	2.678320339
15	2.579645896
16	2.498557669
17	2.430048469
18	2.370568144
19	2.320744315
20	2.279968373
21	2.245980833
22	2.218082578
23	2.196074984
24	2.175046172
25	2.156167368
26	2.140102201
27	2.125671928
28	2.112684985
29	2.101709042
30	2.090402003
31	2.080888946
32	2.072482874
33	2.062702786
34	2.054159714
35	2.047248071
36	2.040351213
37	2.032268741
38	2.024526442
39	2.018687449
40	2.01206843
41	2.007476846
42	2.001560554
43	1.997275952
44	1.993625903
45	1.987958913
46	1.984191389
47	1.979497771
48	1.975489649
49	1.971803583
50	1.967444237
51	1.962917433
52	1.959244982
53	1.956431798
54	1.952545469
55	1.94890238
56	1.945580475
57	1.941527047
58	1.938559129
59	1.934990096
60	1.93191604
61	1.929111466
62	1.926101193
63	1.923960248
64	1.921089246
65	1.917131174
66	1.913948532
67	1.910878508
68	1.908859425
69	1.904906292
70	1.903211174
71	1.900757372
72	1.898498836
73	1.895405872
74	1.893137506
75	1.889853302
76	1.886526449
77	1.883712693
78	1.882055141
79	1.879561018
80	1.877963587
81	1.87630722
82	1.874598273
83	1.871542744
84	1.869065653
85	1.866367409
86	1.864019232
87	1.861661636
88	1.860452266
89	1.858420506
90	1.85609428
91	1.853239004
92	1.85082057
93	1.848673678
94	1.846697266
95	1.844462894
96	1.84337577
97	1.841097289
98	1.838883945
99	1.836470949
100	1.835233417
101	1.833325848
102	1.832435545
103	1.829912076
104	1.82794352
105	1.826340115
106	1.824909311
107	1.823079429
108	1.82130943
109	1.819343614
110	1.817572542
111	1.816151226
112	1.814178614
113	1.812860876
114	1.81040242
115	1.809741081
116	1.808136195
117	1.805953323
118	1.804611427
119	1.802126557
120	1.800580112
121	1.798707142
122	1.797335841
123	1.796304487
124	1.794597616
125	1.793508786
126	1.792326988
127	1.79100125
128	1.789724956
129	1.78920309
130	1.788005511
131	1.786616634
132	1.785582444
133	1.784305427
134	1.783287789
135	1.781375495
136	1.780484465
137	1.779772869
138	1.77884909
139	1.778070377
140	1.776175761
141	1.774906959
142	1.773563255
143	1.77195434
144	1.770237788
145	1.768780986
146	1.767927375
147	1.766104392
148	1.764929548
149	1.763644611
150	1.7624828
151	1.761822214
152	1.760736945
153	1.759756384
154	1.758395667
155	1.757621397
156	1.756771133
157	1.755708678
158	1.753891932
159	1.753414833
160	1.75247815
161	1.75178178
162	1.750748221
163	1.749415908
164	1.748280554
165	1.747715301
166	1.746612089
167	1.746041508
168	1.745109049
169	1.74352034
170	1.741547306
171	1.740970348
172	1.739992083
173	1.73885656
174	1.737861312
175	1.737209225
176	1.735748752
177	1.734377095
178	1.733335632
179	1.732210257
180	1.731399214
181	1.730224844
182	1.72919392
183	1.728110829
184	1.727180487
185	1.726589068
186	1.725453333
187	1.724308923
188	1.723346864
189	1.722730819
190	1.721883011
191	1.720690647
192	1.719962104
193	1.718871495
194	1.71826615
195	1.716419765
196	1.715125746
197	1.714286193
198	1.713453706
199	1.713132244
200	1.712319804
201	1.710987585
202	1.710358392
203	1.709374318
204	1.708792296
205	1.70779891
206	1.706608935
207	1.706036596
208	1.705327232
209	1.704672278
210	1.703564089
211	1.702752405
212	1.701098471
213	1.700491766
214	1.69975692
215	1.698533216
216	1.697688878
217	1.696934591
218	1.696156892
219	1.695745021
220	1.695245806
221	1.694682566
222	1.694221578
223	1.693010233
224	1.691671739
225	1.690939853
226	1.69044991
227	1.68969668
228	1.689079321
229	1.68822862
230	1.687278876
231	1.686761741
232	1.686384084
233	1.685265588
234	1.684487356
235	1.684105441
236	1.683415467
237	1.682743688
238	1.681880107
239	1.681722336
240	1.680913751
241	1.680439784
242	1.679661229
243	1.679394211
244	1.678621009
245	1.67775347
246	1.677277078
247	1.676492751
248	1.675817282
249	1.675102339
250	1.674673422
251	1.673628799
252	1.672938802
253	1.671968094
254	1.671055745
255	1.670530579
256	1.669543047
257	1.668769126
258	1.668043885
259	1.667244719
260	1.666645523
261	1.666249442
262	1.665661754
263	1.664206235
264	1.66332561
265	1.662702749
266	1.662003009
267	1.661335509
268	1.660608422
269	1.659947643
270	1.658920081
271	1.658526357
272	1.657842617
273	1.656924615
274	1.656171085
275	1.655480264
276	1.654332292
277	1.653519285
278	1.65264615
279	1.651771033
280	1.651113326
281	1.649697512
282	1.648990554
283	1.648235083
284	1.647539366
285	1.647135914
