iter	Passed	Remaining
0	80	70908
1	102	45492
2	123	36328
3	142	31441
4	164	29020
5	191	28074
6	212	26715
7	233	25622
8	253	24707
9	271	23828
10	289	23055
11	309	22561
12	327	22034
13	345	21559
14	364	21187
15	382	20841
16	402	20576
17	420	20285
18	438	20028
19	456	19798
20	475	19622
21	493	19408
22	512	19260
23	530	19087
24	548	18919
25	568	18816
26	586	18682
27	605	18561
28	622	18430
29	641	18328
30	660	18251
31	678	18132
32	696	18029
33	714	17927
34	732	17838
35	752	17794
36	772	17742
37	790	17671
38	809	17607
39	830	17577
40	848	17514
41	868	17464
42	886	17396
43	904	17336
44	923	17275
45	941	17212
46	960	17174
47	979	17121
48	998	17073
49	1016	17021
50	1035	16968
51	1054	16926
52	1072	16873
53	1091	16829
54	1109	16788
55	1129	16754
56	1151	16763
57	1174	16787
58	1194	16768
59	1214	16736
60	1233	16698
61	1252	16666
62	1272	16638
63	1292	16624
64	1312	16594
65	1331	16557
66	1350	16524
67	1368	16479
68	1386	16442
69	1405	16406
70	1424	16367
71	1442	16327
72	1463	16316
73	1481	16275
74	1501	16260
75	1519	16219
76	1539	16195
77	1557	16152
78	1575	16111
79	1594	16087
80	1613	16054
81	1632	16027
82	1651	16001
83	1671	15980
84	1689	15938
85	1708	15915
86	1726	15877
87	1745	15844
88	1764	15818
89	1783	15795
90	1802	15764
91	1821	15737
92	1841	15720
93	1860	15696
94	1878	15661
95	1897	15634
96	1914	15595
97	1934	15576
98	1953	15548
99	1974	15536
100	1993	15509
101	2011	15476
102	2029	15451
103	2047	15417
104	2066	15393
105	2086	15371
106	2104	15341
107	2122	15311
108	2141	15287
109	2160	15261
110	2181	15253
111	2201	15236
112	2221	15214
113	2240	15191
114	2258	15158
115	2277	15134
116	2295	15107
117	2314	15080
118	2333	15059
119	2355	15058
120	2375	15038
121	2394	15012
122	2413	14994
123	2432	14969
124	2450	14940
125	2469	14912
126	2488	14890
127	2507	14867
128	2525	14842
129	2544	14817
130	2562	14788
131	2580	14761
132	2599	14734
133	2618	14711
134	2635	14683
135	2654	14656
136	2673	14637
137	2692	14612
138	2711	14588
139	2728	14561
140	2747	14538
141	2766	14513
142	2785	14493
143	2804	14468
144	2822	14442
145	2842	14427
146	2861	14405
147	2880	14385
148	2900	14368
149	2919	14342
150	2938	14324
151	2957	14299
152	2976	14277
153	2995	14255
154	3013	14229
155	3031	14205
156	3049	14180
157	3067	14152
158	3087	14137
159	3106	14115
160	3125	14092
161	3144	14073
162	3163	14049
163	3180	14023
164	3199	13999
165	3217	13976
166	3235	13950
167	3253	13923
168	3271	13897
169	3290	13877
170	3309	13856
171	3327	13833
172	3346	13811
173	3365	13789
174	3383	13767
175	3401	13741
176	3420	13721
177	3439	13700
178	3458	13679
179	3475	13651
180	3495	13633
181	3513	13609
182	3531	13584
183	3549	13561
184	3567	13537
185	3586	13515
186	3605	13494
187	3623	13473
188	3642	13452
189	3660	13428
190	3679	13408
191	3699	13390
192	3717	13368
193	3736	13348
194	3755	13327
195	3773	13303
196	3792	13282
197	3810	13259
198	3827	13233
199	3846	13213
200	3864	13190
201	3882	13166
202	3901	13145
203	3919	13123
204	3938	13103
205	3956	13080
206	3975	13058
207	3994	13039
208	4011	13014
209	4031	12995
210	4051	12979
211	4069	12955
212	4088	12937
213	4107	12917
214	4125	12894
215	4143	12872
216	4161	12848
217	4179	12824
218	4197	12803
219	4217	12787
220	4235	12763
221	4251	12736
222	4272	12720
223	4291	12703
224	4309	12679
225	4329	12661
226	4346	12637
227	4365	12616
228	4383	12594
229	4403	12577
230	4422	12558
231	4440	12537
232	4458	12515
233	4475	12490
234	4494	12470
235	4512	12447
236	4531	12427
237	4549	12406
238	4568	12386
239	4588	12369
240	4606	12348
241	4625	12327
242	4643	12304
243	4661	12283
244	4679	12262
245	4697	12240
246	4714	12216
247	4733	12196
248	4751	12175
249	4768	12150
250	4786	12128
251	4805	12108
252	4823	12086
253	4841	12064
254	4860	12045
255	4878	12024
256	4896	12004
257	4914	11981
258	4932	11960
259	4951	11940
260	4970	11921
261	4989	11901
262	5006	11878
263	5025	11858
264	5045	11842
265	5063	11820
266	5081	11799
267	5098	11776
268	5117	11757
269	5135	11736
270	5154	11716
271	5172	11695
272	5192	11677
273	5211	11658
274	5230	11639
275	5247	11617
276	5265	11596
277	5284	11577
278	5302	11556
279	5320	11534
280	5339	11516
281	5357	11494
282	5375	11472
283	5393	11452
284	5412	11432
285	5430	11411
286	5449	11393
287	5467	11371
288	5485	11350
289	5503	11330
290	5521	11309
291	5540	11289
292	5558	11269
293	5577	11250
294	5595	11229
295	5614	11209
296	5631	11187
297	5650	11167
298	5667	11145
299	5686	11127
300	5705	11107
301	5725	11090
302	5743	11070
303	5762	11050
304	5779	11029
305	5797	11008
306	5816	10988
307	5833	10966
308	5851	10945
309	5868	10922
310	5886	10902
311	5905	10883
312	5924	10864
313	5943	10845
314	5962	10826
315	5981	10808
316	6001	10791
317	6020	10773
318	6038	10752
319	6056	10732
320	6075	10712
321	6092	10690
322	6110	10669
323	6128	10650
324	6147	10630
325	6165	10610
326	6183	10590
327	6202	10570
328	6220	10549
329	6237	10528
330	6255	10507
331	6273	10486
332	6292	10468
333	6311	10449
334	6330	10431
335	6348	10411
336	6367	10391
337	6385	10371
338	6404	10352
339	6423	10334
340	6441	10314
341	6460	10294
342	6479	10276
343	6497	10256
344	6516	10238
345	6535	10218
346	6554	10200
347	6573	10180
348	6590	10159
349	6609	10140
350	6629	10123
351	6646	10102
352	6664	10081
353	6682	10061
354	6700	10041
355	6718	10021
356	6736	10001
357	6755	9982
358	6773	9962
359	6791	9941
360	6809	9921
361	6828	9903
362	6846	9883
363	6865	9863
364	6881	9842
365	6899	9821
366	6917	9801
367	6936	9782
368	6954	9762
369	6973	9743
370	6991	9724
371	7011	9706
372	7030	9687
373	7047	9667
374	7065	9646
375	7082	9625
376	7101	9607
377	7120	9587
378	7138	9567
379	7156	9548
380	7175	9529
381	7192	9508
382	7211	9489
383	7230	9470
384	7247	9450
385	7265	9430
386	7284	9411
387	7301	9390
388	7320	9371
389	7340	9353
390	7358	9335
391	7378	9316
392	7395	9296
393	7413	9276
394	7432	9257
395	7450	9237
396	7468	9217
397	7487	9199
398	7506	9180
399	7525	9162
400	7543	9142
401	7561	9123
402	7579	9103
403	7598	9083
404	7616	9064
405	7634	9045
406	7653	9025
407	7671	9006
408	7691	8988
409	7709	8969
410	7728	8950
411	7746	8931
412	7763	8910
413	7781	8890
414	7800	8872
415	7819	8853
416	7838	8834
417	7856	8815
418	7874	8795
419	7892	8775
420	7910	8756
421	7929	8737
422	7947	8717
423	7965	8698
424	7984	8679
425	8001	8659
426	8021	8641
427	8041	8623
428	8059	8604
429	8078	8585
430	8096	8566
431	8113	8545
432	8131	8526
433	8150	8507
434	8169	8488
435	8188	8470
436	8207	8452
437	8227	8433
438	8244	8414
439	8263	8395
440	8282	8375
441	8300	8356
442	8318	8336
443	8337	8318
444	8354	8298
445	8372	8279
446	8390	8259
447	8409	8240
448	8427	8220
449	8446	8202
450	8464	8182
451	8482	8163
452	8499	8143
453	8518	8124
454	8536	8104
455	8554	8085
456	8572	8066
457	8590	8046
458	8609	8027
459	8628	8009
460	8647	7990
461	8666	7972
462	8684	7953
463	8703	7934
464	8722	7915
465	8740	7896
466	8759	7877
467	8777	7858
468	8796	7839
469	8814	7820
470	8834	7803
471	8852	7783
472	8870	7763
473	8888	7744
474	8905	7724
475	8923	7704
476	8941	7685
477	8960	7666
478	8978	7647
479	8996	7628
480	9013	7608
481	9032	7589
482	9050	7570
483	9068	7551
484	9086	7531
485	9103	7511
486	9121	7492
487	9140	7473
488	9158	7453
489	9177	7435
490	9195	7416
491	9214	7397
492	9233	7379
493	9251	7360
494	9269	7340
495	9288	7321
496	9306	7302
497	9324	7283
498	9342	7264
499	9360	7245
500	9378	7225
501	9396	7206
502	9414	7187
503	9432	7167
504	9451	7149
505	9469	7130
506	9487	7110
507	9505	7091
508	9523	7072
509	9543	7054
510	9562	7036
511	9580	7017
512	9597	6997
513	9616	6978
514	9634	6959
515	9652	6940
516	9671	6921
517	9690	6902
518	9706	6882
519	9726	6864
520	9745	6845
521	9763	6827
522	9782	6808
523	9802	6790
524	9821	6772
525	9841	6754
526	9860	6736
527	9878	6716
528	9896	6697
529	9915	6678
530	9933	6659
531	9951	6640
532	9969	6621
533	9987	6602
534	10006	6583
535	10025	6564
536	10044	6546
537	10063	6527
538	10080	6508
539	10097	6488
540	10115	6469
541	10134	6450
542	10152	6431
543	10170	6412
544	10188	6393
545	10206	6374
546	10224	6355
547	10243	6336
548	10261	6317
549	10279	6298
550	10297	6279
551	10314	6259
552	10333	6241
553	10351	6222
554	10369	6203
555	10387	6183
556	10404	6164
557	10422	6145
558	10440	6126
559	10459	6107
560	10477	6088
561	10495	6069
562	10513	6050
563	10531	6031
564	10550	6012
565	10568	5993
566	10586	5974
567	10603	5955
568	10621	5936
569	10639	5917
570	10658	5898
571	10676	5879
572	10694	5860
573	10713	5841
574	10731	5822
575	10750	5804
576	10767	5785
577	10785	5765
578	10802	5746
579	10822	5728
580	10841	5709
581	10859	5690
582	10877	5672
583	10896	5653
584	10913	5633
585	10930	5614
586	10949	5595
587	10966	5576
588	10984	5557
589	11002	5538
590	11020	5519
591	11038	5500
592	11058	5482
593	11075	5463
594	11093	5444
595	11112	5425
596	11130	5406
597	11150	5388
598	11168	5370
599	11186	5350
600	11204	5332
601	11223	5313
602	11240	5294
603	11259	5275
604	11277	5256
605	11295	5237
606	11313	5218
607	11331	5199
608	11350	5181
609	11368	5162
610	11387	5143
611	11406	5125
612	11424	5106
613	11441	5087
614	11459	5068
615	11477	5049
616	11495	5030
617	11514	5012
618	11532	4993
619	11551	4974
620	11570	4955
621	11588	4937
622	11606	4918
623	11626	4900
624	11643	4881
625	11663	4863
626	11682	4844
627	11700	4825
628	11718	4806
629	11736	4787
630	11754	4768
631	11772	4749
632	11790	4731
633	11808	4712
634	11826	4693
635	11844	4674
636	11863	4656
637	11881	4636
638	11899	4618
639	11916	4599
640	11934	4580
641	11952	4561
642	11970	4542
643	11988	4523
644	12006	4504
645	12025	4486
646	12043	4467
647	12061	4448
648	12080	4430
649	12098	4411
650	12116	4392
651	12134	4373
652	12151	4354
653	12169	4335
654	12187	4316
655	12206	4298
656	12224	4279
657	12242	4260
658	12261	4242
659	12279	4223
660	12297	4204
661	12316	4186
662	12334	4167
663	12354	4149
664	12373	4130
665	12391	4111
666	12409	4093
667	12427	4074
668	12444	4055
669	12463	4036
670	12482	4018
671	12499	3999
672	12516	3979
673	12533	3960
674	12550	3941
675	12568	3923
676	12586	3904
677	12604	3885
678	12623	3867
679	12642	3848
680	12662	3830
681	12680	3811
682	12698	3792
683	12716	3774
684	12734	3755
685	12753	3736
686	12772	3718
687	12790	3699
688	12808	3680
689	12826	3662
690	12844	3643
691	12863	3624
692	12882	3606
693	12900	3587
694	12919	3569
695	12938	3550
696	12958	3532
697	12978	3514
698	12995	3495
699	13013	3476
700	13031	3457
701	13048	3438
702	13067	3420
703	13086	3401
704	13105	3383
705	13124	3364
706	13141	3345
707	13159	3327
708	13178	3308
709	13196	3289
710	13214	3271
711	13232	3252
712	13250	3233
713	13269	3215
714	13289	3196
715	13307	3178
716	13325	3159
717	13343	3140
718	13360	3121
719	13378	3103
720	13396	3084
721	13414	3065
722	13432	3046
723	13450	3028
724	13468	3009
725	13486	2990
726	13504	2972
727	13522	2953
728	13539	2934
729	13558	2915
730	13577	2897
731	13596	2878
732	13613	2860
733	13632	2841
734	13649	2822
735	13668	2804
736	13686	2785
737	13703	2766
738	13722	2748
739	13739	2729
740	13757	2710
741	13776	2692
742	13794	2673
743	13812	2654
744	13829	2635
745	13846	2617
746	13864	2598
747	13882	2579
748	13900	2561
749	13919	2542
750	13937	2524
751	13956	2505
752	13974	2486
753	13991	2467
754	14008	2449
755	14026	2430
756	14043	2411
757	14063	2393
758	14081	2374
759	14099	2356
760	14118	2337
761	14136	2319
762	14154	2300
763	14173	2281
764	14191	2263
765	14209	2244
766	14227	2226
767	14246	2207
768	14265	2188
769	14284	2170
770	14302	2151
771	14321	2133
772	14340	2114
773	14358	2096
774	14378	2077
775	14397	2059
776	14415	2040
777	14433	2022
778	14451	2003
779	14469	1984
780	14487	1966
781	14506	1947
782	14524	1929
783	14542	1910
784	14560	1891
785	14580	1873
786	14598	1854
787	14615	1836
788	14634	1817
789	14652	1799
790	14670	1780
791	14689	1761
792	14707	1743
793	14725	1724
794	14742	1706
795	14760	1687
796	14779	1668
797	14796	1650
798	14815	1631
799	14833	1613
800	14851	1594
801	14869	1575
802	14889	1557
803	14907	1538
804	14926	1520
805	14944	1501
806	14962	1483
807	14979	1464
808	14999	1446
809	15016	1427
810	15034	1408
811	15052	1390
812	15070	1371
813	15089	1353
814	15107	1334
815	15125	1316
